Tipo_Ataque,Tasa_Ocurrencia (%),Vector_Infeccion,Nivel_Impacto (1-10),Tiempo_Recuperacion (horas),Costo_Recuperacion (USD)
Phishing,63,Ingeniería social,5,84,8031
Phishing,70,Correo electrónico,8,96,612
Adware,89,Descarga de archivos,1,4,390
Rootkit,16,Vulnerabilidad de red,9,65,37158
Phishing,69,Ingeniería social,4,59,2377
Virus,49,Sitio web comprometido,5,50,1810
Rootkit,11,USB,7,148,15973
Ataque DDoS,40,Vulnerabilidad de red,7,77,1210
Troyano,60,Descarga de archivos,8,89,5464
Gusano (Worm),44,Vulnerabilidad de red,6,29,2708
Troyano,52,Descarga de archivos,7,37,2281
Phishing,71,Correo electrónico,4,13,14224
Troyano,58,Ingeniería social,8,54,1124
Botnet,18,Correo electrónico,8,187,23272
Phishing,80,Sitio web comprometido,7,13,6048
Virus,83,Correo electrónico,3,71,6559
Ransomware,16,Descarga de archivos,8,324,19655
Troyano,54,Sitio web comprometido,9,18,779
Spyware,22,USB,5,15,5530
Spyware,22,Descarga de archivos,6,58,5452
Troyano,33,Descarga de archivos,9,48,1457
Botnet,10,Vulnerabilidad de red,5,163,17035
Ataque DDoS,31,Vulnerabilidad de red,10,54,24492
Adware,49,Descarga de archivos,1,13,390
Botnet,38,Sitio web comprometido,7,157,23728
Virus,40,Correo electrónico,4,64,4524
Rootkit,22,Vulnerabilidad de red,9,186,12841
Virus,67,Correo electrónico,7,65,4907
Virus,78,Correo electrónico,4,67,6383
Adware,60,Correo electrónico,2,6,1401
Troyano,37,Descarga de archivos,7,74,11184
Adware,69,Descarga de archivos,1,2,1597
Troyano,45,Correo electrónico,7,116,14802
Botnet,16,Vulnerabilidad de red,9,188,5148
Phishing,90,Ingeniería social,4,74,1091
Ataque DDoS,42,Vulnerabilidad de red,5,31,31803
Adware,42,Descarga de archivos,3,14,1266
Troyano,62,Correo electrónico,5,69,9821
Ataque DDoS,38,Ingeniería social,7,140,21601
Adware,71,Descarga de archivos,2,9,784
Phishing,46,Correo electrónico,6,87,14149
Spyware,39,Sitio web comprometido,5,6,2054
Ataque DDoS,34,Sitio web comprometido,5,70,20491
Virus,83,Sitio web comprometido,5,69,7600
Gusano (Worm),32,Vulnerabilidad de red,8,125,8788
Gusano (Worm),31,USB,5,31,9820
Botnet,43,Vulnerabilidad de red,9,83,2104
Adware,60,Descarga de archivos,3,19,1263
Adware,75,Correo electrónico,1,5,1915
Troyano,32,Correo electrónico,8,20,5453
Ataque DDoS,45,Sitio web comprometido,9,163,1328
Gusano (Worm),38,Vulnerabilidad de red,6,51,17170
Ransomware,43,Descarga de archivos,9,366,15996
Ataque DDoS,44,Vulnerabilidad de red,8,149,23607
Spyware,28,Descarga de archivos,7,19,4479
Phishing,82,Ingeniería social,7,56,3020
Adware,50,Descarga de archivos,4,8,975
Adware,68,Descarga de archivos,2,1,1236
Gusano (Worm),53,Sitio web comprometido,9,55,18638
Rootkit,34,Descarga de archivos,10,46,3017
Rootkit,23,Sitio web comprometido,9,39,24071
Gusano (Worm),48,Correo electrónico,7,31,6117
Ataque DDoS,36,Ingeniería social,6,164,2305
Phishing,70,Correo electrónico,7,40,5574
Phishing,64,Ingeniería social,8,43,1501
Spyware,59,Correo electrónico,3,27,3827
Phishing,95,Correo electrónico,4,93,3593
Virus,77,Sitio web comprometido,5,10,4655
Phishing,72,Correo electrónico,4,54,10687
